cluster,n_customers,share,median_ACTUAL_CLTV,mean_ACTUAL_CLTV,median_CURRENT_YEAR_FAP,mean_CURRENT_YEAR_FAP,median_FUTURE_LIFETIME_VALUE,mean_FUTURE_LIFETIME_VALUE,median_ACTUAL_LIFETIME_DURATION,mean_ACTUAL_LIFETIME_DURATION,median_NUM_CROSS_SOLD_LY,mean_NUM_CROSS_SOLD_LY,median_CLM_OVER_PROFIT_HITCOUNT,mean_CLM_OVER_PROFIT_HITCOUNT,mode_CUSTOMER_SEGMENT,mode_CUSTOMER_PORTFOLIO,mode_ACTIVE_CUSTOMER,mean_CURRENT_GWP,mean_LAST_YEAR_GWP,mean_GEP_FIN_FULL,mean_GEC_FIN_FULL,mean_CLM_INC_FULL,mean_WEIGHTED_PLAN_LOSS_RATIO,mean_ACTUAL_LOSS_RATIO,mean_EXPECTED_LIFETIME_VALUE,mean_TOTAL_SCORE,mean_INSP_FLAG,product_index
-1,111257,0.6712297361705208,4380.39,16274.600277116828,5756.5650000000005,28071.453601477788,3139.728953327437,36050.26795470427,4.0,6.026919377601193,1.0,0.651069146211025,0.0,0.22307809845672633,F,MID,Y,18403.726829710777,20587.494404808127,58354.94034706389,7096.603608774787,90944.9014821713,0.4254285545648101,2100917026643.2139,36881.57585631046,24.276881454650045,,1.362464485690776
7,11502,0.0693932464962504,1155.29,2522.3833023134457,,,,,3.9,4.45378326665507,0.0,0.0,1.0,1.0,F,MID,N,,-27.975756351039248,23304.447137889063,3233.4570170405145,17465.131524081957,0.6272975832312917,2083.9773663671676,2522.3833023134457,18.408102938619372,,0.0
43,3589,0.02165296136976549,202.28,1416.7806213429924,419.37,417.8992309835608,197.23125,202.78088440586825,3.8,5.780523822791864,1.0,1.0075229869044302,0.0,0.032042351629980495,E,MID,Y,396.8263680054926,443.4417652892561,3660.46026203734,681.7614543072388,8890.433350515144,0.07014098292199386,0.04593535315178511,1619.5615057488608,23.59933129005294,,2.1084001540589883
6,2245,0.013544413005049744,-2456.24,-3688.95123830735,,,,,4.0,4.886369710467707,0.0,0.0,2.0,2.0,F,MID,N,,-169.21681188118816,35942.187429844096,4617.266195991091,34975.75219153451,0.6479248898375035,27.78942509354655,-3688.95123830735,15.995100222717149,,0.0
92,1525,0.009200547809666306,2347.18,2364.0759474412175,,,,,2.0,2.0,0.0,0.0,0.0,0.0,F,MID,N,,-147.00505494505495,3304.1269017980635,720.3002904564316,2472.082270531346,0.28172563586379573,0.005699997982780327,1120.8045311475412,18.948196721311476,,0.0
111,1375,0.008295575893961423,0.0,0.017076363636363633,,,,,1.0,1.0,0.0,0.0,0.0,0.0,F,MID,N,,-1060.7583333333334,-0.018767843726521818,-0.037205108940646034,0.0,0.11084150702752665,0.0,0.017076363636363633,17.106181818181817,,0.0
100,1314,0.007927553981574771,2303.08,2303.594,,,,,1.0,1.0,0.0,0.0,0.0,0.0,F,MID,N,,236.69636363636363,3013.683222222223,642.6703333333334,6411.033796791443,0.04118559810159628,0.0007628418879597028,157.7804109589041,17.136986301369863,,0.0
56,1289,0.007776725328957291,280.74,496.28178432893714,,,,,6.0,6.005042668735454,0.0,0.0,0.0,0.0,F,MID,N,,-20.865839999999995,1336.725093603744,295.27457878315136,981.5112903225807,0.26004661296904286,0.0034437597168827964,496.28178432893714,20.638479441427464,,0.0
29,1164,0.007022582065869889,251.625,1829.0014432989692,433.255,433.0046907216495,0.0,0.0,4.0,5.624226804123712,0.0,0.009450171821305841,0.0,0.07560137457044673,F,MID,N,-15.742253521126758,547.2320091743119,4906.823428571429,840.7634107142858,12784.280317459647,0.1933343547876632,0.1479935881404281,1829.0014432989692,21.538659793814432,,0.019775969365367074
80,953,0.005749588237778354,0.0,0.0332738719832109,,,,,0.0,0.0,0.0,0.0,0.0,0.0,F,MID,N,,-976.7834285714287,0.2350782190132386,0.00436823104693133,0.0,0.10495325686210516,0.0,0.0332738719832109,17.18467995802728,,0.0
54,934,0.0056349584617890695,192.95,398.93460385438976,,,,,7.0,6.999571734475375,0.0,0.0,0.0,0.0,F,MID,N,,-42.957625,1312.7628387096775,256.6891827956989,99.38644444444444,0.20214094033342164,0.0034946761006522044,398.93460385438976,20.635974304068522,,0.0
50,912,0.005502229247485686,148.565,305.08108552631575,,,,,9.0,8.967434210526315,0.0,0.0,0.0,0.0,F,MID,N,-147.835,-34.721774193548384,1095.0069383259913,213.19437224669605,145.57095238095238,0.20175347681580091,6.602804763000994,305.08108552631575,21.43640350877193,,0.0
46,875,0.0052790028416118155,2270.495,2214.4783333333335,,,,,0.0,0.004342857142857142,0.0,0.0,0.0,0.0,F,MID,N,,0.0,4063.336666666666,746.0775,0.0,0.007358768041034363,0.0,30.369988571428575,17.027428571428572,,0.0
27,788,0.004754119130502984,8512.515,19780.74692893401,0.0,0.8160786802030456,0.0,0.769506451063605,4.0,5.310532994923857,0.0,0.1319796954314721,0.0,0.2068527918781726,F,MID,N,2182.8606779661013,10197.233505291004,38000.53530638853,5485.220299869621,45117.78150212983,0.49240737871458146,99.02688745901423,19781.516435385074,22.178934010152282,,0.2761882495955096
52,747,0.004506760140210316,157.06,268.167202141901,,,,,8.0,7.998125836680054,0.0,0.0,0.0,0.0,F,MID,N,,-132.22620689655173,1052.0181190798376,217.73810554803788,281.7568,0.18623472900936772,0.0024574846721436257,268.167202141901,21.449799196787147,,0.0
