cluster,A,A+,A-,B,C,D,E,F
0,5,0,147,238,1495,2021,4485,534
1,0,0,0,0,2,149,1534,19134
2,1,0,7,171,812,1252,9849,7858
3,9,0,113,558,5582,10644,6340,524
4,0,0,0,0,16,934,4557,5577
5,0,0,0,0,0,45,323,624
6,0,0,0,0,16,39,2476,49749
7,97,44,760,768,1605,1252,638,156
8,0,0,0,0,92,1814,14065,6640
