cluster,n_customers,share,median_ACTUAL_CLTV,mean_ACTUAL_CLTV,median_CURRENT_YEAR_FAP,mean_CURRENT_YEAR_FAP,median_FUTURE_LIFETIME_VALUE,mean_FUTURE_LIFETIME_VALUE,median_ACTUAL_LIFETIME_DURATION,mean_ACTUAL_LIFETIME_DURATION,median_NUM_CROSS_SOLD_LY,mean_NUM_CROSS_SOLD_LY,median_CLM_OVER_PROFIT_HITCOUNT,mean_CLM_OVER_PROFIT_HITCOUNT,mode_CUSTOMER_SEGMENT,mode_CUSTOMER_PORTFOLIO,mode_ACTIVE_CUSTOMER,mean_CURRENT_GWP,mean_LAST_YEAR_GWP,mean_GEP_FIN_FULL,mean_GEC_FIN_FULL,mean_CLM_INC_FULL,mean_WEIGHTED_PLAN_LOSS_RATIO,mean_ACTUAL_LOSS_RATIO,mean_EXPECTED_LIFETIME_VALUE,mean_TOTAL_SCORE,product_index
6,52280,0.3154128783536751,2774.52001953125,9305.544921875,6021.0,16522.53125,4205.1357421875,11988.8681640625,2.0,2.4073550701141357,0.0,0.0,0.0,0.10975516449885234,F,MID,N,733.8310546875,180.5897979736328,15725.80078125,2141.85693359375,12565.5380859375,0.4591425657272339,0.06514812260866165,8559.48046875,20.19385998469778,0.0
3,23770,0.1434078829087004,15050.9697265625,42774.9375,10500.0,30215.91015625,8168.48876953125,39490.171875,3.700000047683716,4.410858631134033,1.0,1.1165334455195626,0.0,0.2280605805637358,D,MID,Y,21697.70703125,24271.6875,69819.6953125,9517.6650390625,36973.3203125,0.4526430070400238,0.1062939390540123,82091.2890625,28.375641564997895,2.336521666645368
8,22611,0.13641546657335402,583.364990234375,2853.6923828125,769.219970703125,1103.146484375,578.9225463867188,968.2417602539062,3.799999952316284,4.809031009674072,1.0,1.0888063332006546,0.0,0.04608376453938349,E,MID,Y,1063.1348876953125,1155.5643310546875,5913.63037109375,1032.5831298828125,9256.673828125,0.23422975838184357,3.049730062484741,3818.7041015625,23.81982221042855,2.278498327580508
1,20819,0.125604068753733,-2073.75,-46271.078125,9000.0,25852.79296875,6519.0888671875,27632.603515625,3.0,4.167092800140381,0.0,0.18776117969162784,1.0,0.7049810269465392,F,MID,N,17013.849609375,14368.5087890625,22040.423828125,3058.26123046875,106448.7109375,0.3661842346191406,11227327627264.0,-41426.5078125,17.940727220327584,0.3929197699046411
2,19950,0.1203612647887494,4470.02978515625,17500.724609375,5673.0,12715.69921875,4801.6005859375,17943.810546875,9.0,9.280099868774414,0.0,0.09604010025062656,0.0,0.18591478696741853,E,MID,N,9874.44140625,4477.779296875,33491.5078125,4503.521484375,25266.828125,0.4289702773094177,0.08295506238937378,18374.970703125,23.34781954887218,0.20097899978084494
4,11084,0.06687139142448613,3518.705078125,18313.4609375,3555.0,15826.6708984375,0.0,0.47170302271842957,3.0,4.709067344665527,0.0,0.11313605196679899,0.0,0.30891374954889933,F,MID,N,1450.6346435546875,11274.7041015625,48313.14453125,5412.68017578125,63896.546875,0.45407217741012573,282.4905700683594,18313.93359375,22.353031396607722,0.23675496489595357
0,8925,0.053845828984440514,3012.360107421875,21224.240234375,2585.7900390625,11553.7236328125,2252.11083984375,16075.171875,19.799999237060547,20.592267990112305,1.0,0.8441456582633053,0.0,0.222296918767507,E,MID,Y,9600.5439453125,10097.91015625,55416.0390625,6793.6982421875,62433.41796875,0.2605075240135193,0.14867015182971954,32820.79296875,27.114285714285714,1.7665074237153893
7,5320,0.032096337276999835,44485.3515625,114306.6328125,35978.37890625,131637.5625,35206.58203125,207972.71875,10.600000381469727,11.683534622192383,2.0,2.4721804511278194,1.0,1.193609022556391,C,MID,Y,81729.6171875,105050.8828125,415183.8125,43372.16015625,315203.625,0.5029099583625793,9.890851974487305,322279.375,31.729887218045114,5.173426027761624
5,992,0.005984880935861624,4499.97021484375,365.494384765625,0.0,2.37174391746521,0.0,1.0604361295700073,4.099999904632568,5.522177219390869,0.0,0.2842741935483871,0.0,0.18850806451612903,F,MID,N,2230.6025390625,10121.626953125,41857.40625,6083.80908203125,110570.4609375,0.41153034567832947,79.73279571533203,362.2923278808594,21.789314516129032,0.5948884157114198
