cluster,customer_count,mean_cltv,median_cltv,std_cltv,mean_silhouette,p20_confidence,median_rnd,marginal_count,marginal_pct,cluster_label,cluster_display
0,8925,21224.24014820681,3012.36,242426.9441231376,0.10733382035075757,0.9398588538169861,0.9999994039535522,5068,56.7843137254902,Low-Value Base,C0 - Low-Value Base
1,20819,-46271.07582160526,-2073.75,599490.1447283248,0.4633970821678887,0.9904041886329651,0.9999988079071045,4884,23.459340025937845,Anomalous,C1 - Anomalous
2,19950,17500.724609428857,4470.03,63554.938794713045,0.2331266833897776,0.7506418824195862,0.9999985694885254,9743,48.83709273182957,Unprofitable,C2 - Unprofitable
3,23770,42774.936150802,15050.97,323631.7121028457,0.19413284721073737,0.7424863576889038,0.9999991655349731,10032,42.20445940260833,VIP Elite,C3 - VIP Elite
4,11084,18313.460719054492,3518.705,364900.1616469792,0.39774750635739303,0.9999978542327881,0.9999994039535522,2246,20.263442800433058,Active Mid-Tier,C4 - Active Mid-Tier
5,992,365.49436289500534,4499.97,234097.5195179422,0.48294602915094764,1.0,0.9999994039535522,46,4.637096774193548,Active Standard,C5 - Active Standard
6,52280,9305.544162250135,2774.52,33516.09581330688,0.5134610530834905,0.6953303217887878,0.9999978542327881,16528,31.614384085692425,Tenure Loyalists,C6 - Tenure Loyalists
7,5320,114306.63706390976,44485.350000000006,972067.7424856685,0.0345010741765364,0.9880919456481934,0.9999996423721313,3403,63.96616541353384,Declining (Zero FLV),C7 - Declining (Zero FLV)
8,22611,2853.6924234513276,583.365,18850.223796171547,0.34516116323910334,0.7736272215843201,0.9999991059303284,5620,24.855158993410285,High-Value,C8 - High-Value
