cluster,customer_count,mean_cltv,median_cltv,std_cltv,mean_silhouette,p20_confidence,median_rnd,marginal_count,marginal_pct,cluster_label,cluster_display
0,71742,10174.77706041438,3081.59,37987.58602310841,0.48599985580136384,0.8004897236824036,0.9999984502792358,22113,30.82294890022581,Low-Value Base,C0 - Low-Value Base
1,802,6888.428279301745,8291.93,194181.4468856861,0.7471807469947743,0.9999992847442627,0.999998927116394,141,17.581047381546135,Anomalous,C1 - Anomalous
2,20621,-32322.708314824693,-1144.0,567613.0248651026,0.405384213587546,0.9960784316062927,0.9999987483024597,4615,22.380097958391932,Unprofitable,C2 - Unprofitable
3,3966,252970.09275592538,156375.08000000002,1409207.9687658495,0.11499398465453713,0.9947434663772583,0.9999996423721313,1849,46.621280887544124,VIP Elite,C3 - VIP Elite
4,14520,16405.48609782983,11309.58,22128.28806810799,0.2193166385859942,0.6722047924995422,0.9999991655349731,6840,47.107438016528924,Active Mid-Tier,C4 - Active Mid-Tier
5,17568,961.9734771457881,360.21500000000003,71790.33503916825,0.3629991259038398,0.9823140501976013,0.9999991655349731,4161,23.685109289617486,Active Standard,C5 - Active Standard
6,13981,12426.667393921598,2950.88,86081.08742323495,0.1521214725930853,0.9644784331321716,0.9999992847442627,6433,46.01244546169802,Tenure Loyalists,C6 - Tenure Loyalists
7,11286,17792.636958178275,3369.16,361435.8193743627,0.6146907817668452,1.0,0.9999994039535522,49,0.43416622363990787,Declining (Zero FLV),C7 - Declining (Zero FLV)
8,11265,21989.241144353695,31719.010000000002,257024.16449614218,0.0982262705049906,0.802483856678009,0.9999994039535522,8019,71.18508655126497,High-Value,C8 - High-Value
