cluster,n_customers,share,median_ACTUAL_CLTV,mean_ACTUAL_CLTV,median_CURRENT_YEAR_FAP,mean_CURRENT_YEAR_FAP,median_FUTURE_LIFETIME_VALUE,mean_FUTURE_LIFETIME_VALUE,median_ACTUAL_LIFETIME_DURATION,mean_ACTUAL_LIFETIME_DURATION,median_NUM_CROSS_SOLD_LY,mean_NUM_CROSS_SOLD_LY,median_CLM_OVER_PROFIT_HITCOUNT,mean_CLM_OVER_PROFIT_HITCOUNT,mode_CUSTOMER_SEGMENT,mode_CUSTOMER_PORTFOLIO,mode_ACTIVE_CUSTOMER,mean_CURRENT_GWP,mean_LAST_YEAR_GWP,mean_GEP_FIN_FULL,mean_GEC_FIN_FULL,mean_CLM_INC_FULL,mean_WEIGHTED_PLAN_LOSS_RATIO,mean_ACTUAL_LOSS_RATIO,mean_EXPECTED_LIFETIME_VALUE,mean_TOTAL_SCORE,product_index
0,71742,0.4328299678433313,3081.590087890625,10174.77734375,2813.0,3633.25390625,1623.21142578125,1753.2276611328125,3.0,3.488748073577881,0.0,0.1031055727467871,0.0,0.13067659111817345,F,MID,N,3427.528564453125,1322.638916015625,18308.77734375,2447.50830078125,15758.728515625,0.45331960916519165,0.06925436109304428,9625.6123046875,20.954782414764015,0.2157646111197726
2,20621,0.12440950582500257,-1144.0,-32322.708984375,6465.0,8879.986328125,4266.9326171875,5485.2197265625,3.0,3.8498470783233643,0.0,0.13335919693516318,0.0,0.6245574899374424,F,MID,N,5676.4580078125,4170.77880859375,13618.8642578125,2065.7490234375,79559.4609375,0.33978450298309326,8720112156672.0,-31667.27734375,17.70049949081034,0.27907507324192904
5,17568,0.10599031076735585,360.2149963378906,961.9734497070312,540.8300170898438,698.7412109375,387.6429443359375,503.85784912109375,4.0,5.217156410217285,1.0,1.0516848816029143,0.0,0.045821948998178506,E,MID,Y,723.8387451171875,844.8314819335938,5183.0576171875,923.2115478515625,29217.681640625,0.19555839896202087,3.9511830806732178,1457.513916015625,23.533640710382514,2.2008158575179233
4,14520,0.08760128144023263,11309.580078125,16405.486328125,7573.0,8819.1787109375,5797.29052734375,6778.189453125,4.449999809265137,4.957575798034668,1.0,1.2046831955922865,0.0,0.19345730027548208,D,MID,Y,6876.7607421875,7639.09619140625,24877.541015625,4069.0244140625,8116.42822265625,0.45008790493011475,0.08688978105783463,23174.7578125,27.82513774104683,2.5209888689318625
6,13981,0.08434941568979976,2950.8798828125,12426.666015625,2464.96484375,4068.249267578125,2056.851318359375,3226.068359375,15.399999618530273,16.72977638244629,0.0,0.5767827766254202,0.0,0.18539446391531364,E,MID,N,3168.143798828125,3331.195556640625,32738.5546875,4151.62841796875,39269.7265625,0.3185140788555145,0.1261899620294571,13669.2734375,25.611186610399827,1.2070085853147492
7,11286,0.06809008693763537,3369.16015625,17792.63671875,3451.0,15229.353515625,0.0,0.0017855510814115405,3.0,4.926625728607178,0.0,0.1101364522417154,0.0,0.3034733297891193,F,MID,N,1434.1468505859375,11003.9091796875,47041.01953125,5284.6640625,62610.73828125,0.45056214928627014,277.4375915527344,17792.638671875,22.35699096225412,0.2304778311683025
8,11265,0.06796339086943669,31719.009765625,21989.2421875,24480.0,31257.1796875,25094.3984375,32774.23828125,6.400000095367432,7.294025897979736,1.0,1.3902352418996893,0.0,0.5851753217931647,C,MID,Y,22574.044921875,26126.248046875,85469.671875,11525.5439453125,73107.4140625,0.4746672809123993,4786887852032.0,54752.796875,30.285397248113625,2.9092856801267
3,3966,0.023927457451237095,156375.09375,252970.078125,128490.1015625,271315.5,171707.125,449372.71875,9.699999809265137,11.526651382446289,2.0,2.0219364599092287,1.0,0.9778113968734241,C,MID,Y,168422.984375,209095.40625,754692.4375,81945.171875,529738.75,0.4796471893787384,0.6124742031097412,702342.8125,33.57816439737771,4.231219732929508
1,802,0.004838583175968772,8291.9296875,6888.4287109375,0.0,1.2579801082611084,0.0,0.7365854978561401,4.0,5.328054904937744,0.0,0.12967581047381546,0.0,0.22069825436408977,F,MID,N,2066.94580078125,10962.3525390625,42903.40625,5730.6376953125,102110.0390625,0.49314796924591064,98.49781799316406,6889.16455078125,22.14214463840399,0.27136700833075
