CUSTOMER_ID,cluster
204420,3
198987,3
142217,3
184229,3
181730,3
180586,3
152800,3
168552,3
190707,3
172723,3
170814,3
184617,3
198175,3
198995,3
162399,3
148544,3
149040,3
166280,3
193055,3
148771,3
189423,3
182066,3
136560,3
154710,3
185751,3
175155,3
151825,3
189870,3
180077,3
181727,3
193331,3
194989,3
175123,3
180260,3
197694,3
204663,3
194164,3
183333,3
200314,3
170988,3
194739,3
195698,3
193809,3
17627,3
178179,3
173717,3
142678,3
162400,3
186661,3
197954,3
145323,3
158271,3
1897419,3
164150,3
172473,3
195234,3
203505,3
167712,3
156392,3
156576,3
49261,3
153455,3
172518,3
203420,3
167501,3
204395,3
169760,3
173347,3
189072,3
138777,3
177949,3
202155,3
174927,3
140693,3
154660,3
147354,3
162350,3
170473,3
177119,3
178101,3
193384,3
152452,3
168874,3
200967,3
201506,3
187149,3
155718,3
146713,3
197932,3
169319,3
200716,3
164692,3
142571,3
156599,3
150324,3
160994,3
155927,3
173993,3
166292,3
158641,3
405221,3
204468,3
141033,3
176282,3
178713,3
184609,3
137937,3
205697,3
140220,3
193769,3
196390,3
178876,3
205728,3
195145,3
200208,3
188262,3
190564,3
171208,3
175821,3
165794,3
1196049,3
138202,3
199927,3
139192,3
146081,3
202191,3
136910,3
184785,3
196430,3
174201,3
1490277,3
202195,3
201161,3
195198,3
176549,3
140299,3
180076,3
199744,3
200675,3
149175,3
182052,3
187206,8
155939,3
175561,3
167418,3
175475,3
201875,3
184989,3
185732,3
195662,3
202812,3
182884,3
180361,3
151903,3
144235,3
204879,3
185544,3
150652,3
173326,3
172268,3
455387,3
165335,3
156581,3
190286,3
149900,3
170076,3
164941,3
200336,3
139189,3
152364,3
177006,3
200962,3
160064,3
153476,3
206006,3
175463,3
150414,3
199040,3
144333,3
202200,3
149167,3
200686,3
146082,3
181544,3
154664,3
141527,3
1282222,3
159077,3
158987,3
145783,3
205629,3
192376,3
149777,3
168858,3
184994,3
194994,3
152535,3
192883,3
136958,3
144278,3
201191,3
175834,3
175781,3
1897125,3
184262,3
181965,3
156589,8
186082,3
161508,3
150854,3
138921,3
198726,3
177287,3
138810,3
193861,3
139169,8
183295,3
177272,3
181560,3
165473,3
198203,3
1898386,3
195108,3
164203,3
169631,3
203844,3
137410,3
183115,3
146877,3
190193,3
163536,3
175779,3
153819,3
175157,3
145041,3
156887,3
161256,3
145175,8
138727,3
181850,3
195470,3
182909,3
166305,3
137021,3
196228,3
167443,3
161624,3
203471,3
147467,3
1204269,3
155170,3
157359,3
170243,8
202302,3
163575,3
173734,3
1896745,3
161509,3
138732,3
193609,8
166377,3
203061,3
178184,3
182704,3
136565,3
140992,3
173371,3
186890,3
144505,3
201296,3
156889,3
141160,3
145940,3
146766,3
202163,3
205716,3
188738,3
160489,3
147685,3
137513,3
138582,8
169388,3
150188,3
184050,3
197178,3
173835,3
170073,3
195010,3
173523,3
177239,3
162842,3
164468,3
171081,3
205187,3
175366,3
173757,3
144727,3
186675,3
204760,3
186638,3
200846,3
191229,3
204950,3
202171,3
192797,3
143633,3
165686,3
156987,3
188084,3
167059,3
155892,3
196333,3
139887,8
142654,3
184636,8
148967,3
198521,3
165384,3
204075,3
202676,3
197049,3
202419,3
191312,3
1896723,3
200544,3
179950,8
1902131,3
189450,3
185168,3
166761,3
169359,3
138030,3
172097,3
487764,3
180598,3
153140,3
171752,3
173896,3
138331,3
144765,3
195806,3
192940,3
147349,8
139149,3
183303,3
138567,3
204959,3
168889,3
146448,3
193872,3
169847,3
165180,3
172390,3
197606,3
153801,3
145105,3
189201,3
166004,3
152799,3
174767,3
176098,8
177440,3
171776,3
146742,3
169216,3
143562,3
151436,3
142408,3
163004,3
138653,3
162436,3
1903033,3
170152,8
185029,3
196099,3
143680,3
201962,3
144738,3
205439,3
204102,3
174048,3
174669,3
171757,3
168417,3
190862,8
195842,3
192445,8
157867,3
156577,3
163990,3
199949,3
173718,3
200217,3
185450,8
166695,3
175972,3
186452,3
173525,3
146147,3
205618,3
199014,3
152554,3
204564,3
