cluster,A,A+,A-,B,C,D,E,F
0,0,0,0,0,5,604,13308,57825
1,0,0,0,0,0,44,299,459
2,0,0,0,0,0,15,859,19747
3,111,44,803,777,1483,517,184,47
4,0,0,0,11,2118,8388,3925,78
5,0,0,0,0,4,701,11254,5609
6,0,0,1,28,1223,3305,8362,1062
7,0,0,0,0,14,935,4679,5658
8,1,0,223,919,4773,3641,1397,311
