cluster,A,A+,A-,B,C,D,E,F
0,0,0,0,0,0,0,444,21053
1,0,0,0,0,22,2024,13760,4585
2,0,0,3,15,1219,6635,6271,971
3,0,0,0,0,1,142,4628,14679
4,104,43,942,1324,4694,3405,883,162
5,0,0,0,0,0,1,960,16877
6,0,0,0,0,2,602,5881,8370
7,0,0,0,0,0,107,1800,19243
8,0,0,0,0,23,845,7918,4364
9,8,1,82,396,3659,4389,1722,492
