cluster,n_customers,share,median_ACTUAL_CLTV,mean_ACTUAL_CLTV,median_CURRENT_YEAR_FAP,mean_CURRENT_YEAR_FAP,median_FUTURE_LIFETIME_VALUE,mean_FUTURE_LIFETIME_VALUE,median_ACTUAL_LIFETIME_DURATION,mean_ACTUAL_LIFETIME_DURATION,median_NUM_CROSS_SOLD_LY,mean_NUM_CROSS_SOLD_LY,median_CLM_OVER_PROFIT_HITCOUNT,mean_CLM_OVER_PROFIT_HITCOUNT,mode_CUSTOMER_SEGMENT,mode_CUSTOMER_PORTFOLIO,mode_ACTIVE_CUSTOMER,mean_CURRENT_GWP,mean_LAST_YEAR_GWP,mean_GEP_FIN_FULL,mean_GEC_FIN_FULL,mean_CLM_INC_FULL,mean_WEIGHTED_PLAN_LOSS_RATIO,mean_ACTUAL_LOSS_RATIO,mean_EXPECTED_LIFETIME_VALUE,mean_TOTAL_SCORE,product_index
0,21497,0.12969454181271908,450.8699951171875,574.8353271484375,4747.5,9857.267578125,0.0,1038.9598388671875,1.0,0.7584965229034424,0.0,0.006000837326138531,0.0,0.08940782434758339,F,MID,N,770.5578002929688,583.7254028320312,5104.42236328125,739.8794555664062,15896.7626953125,0.37427589297294617,461.7878723144531,528.7597045898438,18.584825789645066,0.012557694968118422
7,21150,0.12760104011438844,2879.784912109375,1587.6881103515625,7434.5,25211.02734375,0.0,358.74114990234375,3.200000047683716,3.5135014057159424,0.0,0.008747044917257684,0.0,0.30851063829787234,F,MID,N,4904.49072265625,5142.3525390625,23483.46875,3076.2294921875,39605.84765625,0.47315335273742676,5401974145024.0,1540.2916259765625,20.142505910165486,0.018304565841986444
1,20391,0.12302188222092174,616.8499755859375,5525.623046875,861.280029296875,1236.7294921875,440.45513916015625,706.1722412109375,5.900000095367432,7.071968078613281,1.0,0.8832327987837771,0.0,0.05625030650777304,E,MID,Y,1057.7803955078125,1540.0262451171875,10433.099609375,1586.5933837890625,15272.1904296875,0.22996953129768372,0.02245372161269188,6231.34521484375,24.074836937864745,1.8483034067016368
3,19450,0.11734469173639978,2785.18994140625,3563.952880859375,4891.0,11279.9716796875,0.0,674.6385498046875,6.0,6.234976768493652,0.0,0.016092544987146528,0.0,0.35917737789203086,F,MID,N,1310.000732421875,1675.11279296875,29110.212890625,3707.046630859375,45303.34375,0.4480398893356323,34752536576.0,3447.176513671875,20.808329048843188,0.0336761788774149
5,17838,0.10761926021562464,1813.64990234375,1370.171142578125,4537.490234375,4540.01025390625,0.0,882.879638671875,2.0,1.9937269687652588,0.0,0.00796053369211795,0.0,0.19194977015360468,F,MID,N,1290.3658447265625,594.1477661132812,12825.849609375,1846.5223388671875,26092.14453125,0.46188536286354065,105.18250274658203,1314.9971923828125,19.812703217849535,0.016658667525215796
2,15114,0.09118497022642397,6010.97998046875,-4896.92236328125,7846.9296875,14899.7666015625,5683.189453125,14502.1611328125,2.700000047683716,4.869439125061035,1.0,1.1311366944554717,0.0,0.2704115389704909,D,MID,Y,11310.357421875,10056.1083984375,20565.37890625,2974.5869140625,50787.97265625,0.3751172125339508,3567837249536.0,9564.951171875,26.49126637554585,2.367081259534491
6,14855,0.08962238538530688,1426.7950439453125,-5264.34912109375,1133.5,2244.84814453125,468.5594177246094,847.671630859375,2.4000000953674316,5.217630863189697,1.0,0.8654998317064961,0.0,0.15678222820599125,F,MID,Y,1169.5191650390625,2254.148193359375,7468.9736328125,1146.0142822265625,59256.65234375,0.3063187897205353,155.06922912597656,-4426.22802734375,22.555839784584315,1.811194386854322
8,13150,0.07933587127679471,1347.739990234375,4465.97265625,4649.259765625,4650.3466796875,2093.68701171875,1470.7523193359375,11.899999618530273,13.000174522399902,0.0,0.025627376425855514,0.0,0.2500380228136882,E,MID,N,2074.19970703125,794.2822265625,31803.26953125,4430.41845703125,58758.48828125,0.36847254633903503,4934581354496.0,4317.59375,22.88973384030418,0.053629311794080974
4,11557,0.06972506953200885,40600.8984375,97769.296875,19113.0,73466.8046875,16935.484375,113072.4140625,11.399999618530273,12.413681030273438,1.0,1.5138011594704508,0.0,0.630180842779268,C,MID,Y,47606.27734375,60546.125,255543.40625,28781.619140625,182572.296875,0.5225750207901001,0.380996435880661,210802.59375,31.515877822964438,3.1678667775596128
9,10749,0.06485028747941189,31182.619140625,57041.78515625,18739.880859375,59054.5234375,12843.447265625,70096.625,6.199999809265137,5.3769378662109375,1.0,1.1761094055260954,0.0,0.515489813005861,D,MID,Y,35006.33984375,43211.2890625,131446.15625,16267.6865234375,104948.046875,0.5472322702407837,562.5604858398438,127053.625,29.120569355288865,2.461193723649166
