cluster,A,A+,A-,B,C,D,E,F
0,0,0,0,1,34,538,12444,51129
1,0,0,0,0,0,94,1389,18828
2,0,0,0,309,5587,13574,22813,3170
3,0,0,0,0,10,973,4968,5722
4,112,44,1027,1425,3989,2887,1129,44
5,0,0,0,0,0,84,1524,11903
