cluster,n_customers,share,median_ACTUAL_CLTV,mean_ACTUAL_CLTV,median_CURRENT_YEAR_FAP,mean_CURRENT_YEAR_FAP,median_FUTURE_LIFETIME_VALUE,mean_FUTURE_LIFETIME_VALUE,median_ACTUAL_LIFETIME_DURATION,mean_ACTUAL_LIFETIME_DURATION,median_NUM_CROSS_SOLD_LY,mean_NUM_CROSS_SOLD_LY,median_CLM_OVER_PROFIT_HITCOUNT,mean_CLM_OVER_PROFIT_HITCOUNT,mode_CUSTOMER_SEGMENT,mode_CUSTOMER_PORTFOLIO,mode_ACTIVE_CUSTOMER,mean_CURRENT_GWP,mean_LAST_YEAR_GWP,mean_GEP_FIN_FULL,mean_GEC_FIN_FULL,mean_CLM_INC_FULL,mean_WEIGHTED_PLAN_LOSS_RATIO,mean_ACTUAL_LOSS_RATIO,mean_EXPECTED_LIFETIME_VALUE,mean_TOTAL_SCORE,product_index
0,98506,0.5943010901895012,1810.15,2714.883170217343,6022.5,6623.584962095876,3245.7894727743687,2970.304506860837,3.0,4.611311633575382,0.0,0.0791829939293038,0.0,0.2336304387549997,F,MID,N,4300.073985027001,2407.845099141455,19265.327486837527,2656.698624684536,34794.168152295395,0.42795445815280975,1825446483432.5635,2826.9533422295754,20.661360729295676,0.16570285618230984
1,39726,0.2396727621552811,1005.12,2597.8576084384363,1155.16,1981.8402781553643,529.6900874,971.103206171629,4.5,6.3096989377234065,1.0,0.8897699239792579,0.0,0.09235764990182752,E,MID,Y,1344.3354535830856,2102.2813747336904,9708.388788635653,1538.7933193313086,25325.956006495682,0.28828636022068327,62.33194812556748,3563.87562571464,23.7509187937371,1.8619833682989417
2,27519,0.16602614765521775,25400.2,55848.92534961477,18854.93,61039.22722427413,15184.948183855373,81585.99252344886,6.2,7.635357389440024,1.0,1.3103310440059595,0.0,0.5759293578981795,D,MID,Y,38208.88091274174,49321.59204410347,177945.0529271586,20500.49385415839,152468.70377789775,0.47509550922145144,1959529574419.1003,137325.06444400118,29.41560376467168,2.742073591331866
