cluster,customer_count,mean_cltv,median_cltv,std_cltv,mean_silhouette,p20_confidence,median_rnd,marginal_count,marginal_pct,cluster_label,cluster_display
0,49819,10179.048845824082,3036.27,37790.05266081695,0.4832133976178527,0.6505298018455505,0.9999977350234985,17287,34.69961259760333,Low-Value Base,C0 - Low-Value Base
1,3846,-77685.0664950598,-1878.54,495446.0808732179,0.20552938760996806,0.8882210850715637,0.999998927116394,1388,36.08944357774311,Anomalous,C1 - Anomalous
2,20666,2158.878072656818,473.11,56966.384614646,0.3030757458125159,0.9133342504501343,0.9999991655349731,4893,23.676570211942323,Unprofitable,C2 - Unprofitable
3,11042,18502.92046821228,3540.41,365387.810363333,0.4023183589970197,0.9998108148574829,0.999999463558197,2279,20.639376924470206,VIP Elite,C3 - VIP Elite
4,7072,150245.97357183258,51924.399999999994,1001112.0854694244,0.03550657060632906,0.9678852558135986,0.9999994039535522,4515,63.8433257918552,Active Mid-Tier,C4 - Active Mid-Tier
5,17931,-44358.03117394457,-2283.99,617701.6672900954,0.44140615025968005,0.8132771849632263,0.9999986886978149,4595,25.626010819251576,Active Standard,C5 - Active Standard
6,20395,12184.624944151412,2692.3450000000003,48393.30144114445,0.24350772897783302,0.6747898459434509,0.9999985098838806,10331,50.654572199068404,Tenure Loyalists,C6 - Tenure Loyalists
7,10062,27699.869972774024,4525.63,210404.20544764973,0.10944651201368757,0.8534648418426514,0.9999992847442627,5116,50.844762472669444,Declining (Zero FLV),C7 - Declining (Zero FLV)
8,24918,28177.844223123568,11782.64,74610.12072170149,0.19185382280543953,0.6190681457519531,0.9999991655349731,9776,39.23268320089895,High-Value,C8 - High-Value
