cluster,A,A+,A-,B,C,D,E,F
0,0,0,1,0,19,44,2738,47017
1,0,0,0,0,7,114,551,3174
2,0,0,0,0,34,1363,12674,6595
3,0,0,0,0,17,931,4556,5538
4,106,43,853,1062,2764,1677,505,62
5,0,0,0,0,1,124,1398,16408
6,0,0,2,57,298,720,8874,10444
7,5,1,149,326,1822,2415,5037,307
8,1,0,22,290,4658,10762,7934,1251
